Common Name,Scientific Name,ESA Listing Status,Is Foreign?,Species Group,Taxonomic Kingdom,Taxonomic Group,Taxonomic Family
Fraser fir,Abies fraseri,Species of Concern,FALSE,Conifers and Cycads,Plant,Conifers and Cycads,Pinaceae
Guatemalan Fir (=pinabete),Abies guatemalensis,Threatened,TRUE,Conifers and Cycads,Plant,Conifers and Cycads,Pinaceae
Oso Flaco robber fly,Ablautus schlingeri,Species of Concern,FALSE,Insects,Animal,Insects,Asilidae
Ramshaw Meadows sand-verbena,Abronia alpina,Resolved Taxon,FALSE,Flowering Plants,Plant,Flowering Plants,Nyctaginaceae
Yellowstone Sand Verbena,Abronia ammophila,Resolved Taxon,FALSE,Flowering Plants,Plant,Flowering Plants,Nyctaginaceae
No common name,Abronia ammophila var.,Species of Concern,FALSE,Flowering Plants,Plant,Flowering Plants,Nyctaginaceae
[Unnamed] sand-verbena,Abronia ammphila,Species of Concern,FALSE,Flowering Plants,Plant,Flowering Plants,Nyctaginaceae
[Unnamed] sand-verbena,Abronia bigelovii,Resolved Taxon,FALSE,Flowering Plants,Plant,Flowering Plants,Nyctaginaceae
Large-fruited sand-verbena,Abronia macrocarpa,Endangered,FALSE,Flowering Plants,Plant,Flowering Plants,Nyctaginaceae
[Unnamed] sand-verbena,Abronia turbinata,Resolved Taxon,FALSE,Flowering Plants,Plant,Flowering Plants,Nyctaginaceae
San Diego thornmint,Acanthomintha ilicifolia,Threatened,FALSE,Flowering Plants,Plant,Flowering Plants,Lamiaceae
No common name,Acropora acuminata,Status Undefined,FALSE,Corals,Animal,Corals,Acroporidae
